root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=108 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=1.25 MeanE2=0.990337
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=109 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=1.25 MeanE2=1.00541
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=110 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=1.25 MeanE2=0.842958
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=111 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=1.25 MeanE2=0.683066
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=112 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=1.25 MeanE2=0.68618
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=113 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=1.25 MeanE2=0.686288
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=114 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=1.25 MeanE2=0.752919
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=115 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=1.25 MeanE2=0.953419
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=116 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=1.25 MeanE2=0.886017
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=117 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=1.25 MeanE2=1.06615
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=118 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=1.25 MeanE2=0.717644
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=119 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=1.25 MeanE2=0.794522
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=120 ***********  PID Kp=0 PID Ki=0.001 PID Kd=1.5 MeanE2=1.53599
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=121 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=1.5 MeanE2=0.830436
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=122 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=1.5 MeanE2=0.543717
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=123 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=1.5 MeanE2=0.292388
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=124 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=1.5 MeanE2=0.234052
mean_error_squared_best=0.234052 kp_best=0.2 ki_best=0.001 kd_best=1.5
*********** ITER=125 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=1.5 MeanE2=0.226796
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=126 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=1.5 MeanE2=0.27024
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=127 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=1.5 MeanE2=0.628719
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
